,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_Polarizability,formulaB_elements_Polarizability,avg_elements_AtomicVolume,diff_elements_AtomicVolume,avg_elements_AtomicWeight,diff_elements_AtomicWeight,avg_elements_BoilingT,diff_elements_BoilingT,avg_elements_BulkModulus,diff_elements_BulkModulus,avg_elements_Column,diff_elements_Column,avg_elements_CovalentRadius,diff_elements_CovalentRadius,avg_elements_Density,diff_elements_Density,avg_elements_ElectronSurfaceDensityWS,diff_elements_ElectronSurfaceDensityWS,avg_elements_Electronegativity,diff_elements_Electronegativity,avg_elements_FirstIonizationEnergy,diff_elements_FirstIonizationEnergy,avg_elements_GSbandgap,diff_elements_GSbandgap,avg_elements_GSenergy_pa,diff_elements_GSenergy_pa,avg_elements_GSestBCClatcnt,diff_elements_GSestBCClatcnt,avg_elements_GSestFCClatcnt,diff_elements_GSestFCClatcnt,avg_elements_GSvolume_pa,diff_elements_GSvolume_pa,avg_elements_HHIp,diff_elements_HHIp,avg_elements_HHIr,diff_elements_HHIr,avg_elements_HeatCapacityMass,diff_elements_HeatCapacityMass,avg_elements_HeatCapacityMolar,diff_elements_HeatCapacityMolar,avg_elements_HeatFusion,diff_elements_HeatFusion,avg_elements_ICSDVolume,diff_elements_ICSDVolume,avg_elements_MeltingT,diff_elements_MeltingT,avg_elements_MendeleevNumber,diff_elements_MendeleevNumber,avg_elements_MiracleRadius,diff_elements_MiracleRadius,avg_elements_NUnfilled,diff_elements_NUnfilled,avg_elements_NValance,diff_elements_NValance,avg_elements_NdValence,diff_elements_NdValence,avg_elements_Number,diff_elements_Number,avg_elements_Polarizability,diff_elements_Polarizability,avg_elements_ShearModulus,diff_elements_ShearModulus
10,0.0,0.0,215,142,0.0,1.17,5.17,5.78636,-4.1050022980000005,-2.66680196,0.12,0.233,12.0,3.2910000000000004,14,75,32.1,9.65,31.757872229999997,11.350428139999991,170.909,112.182,2909.0,1128.0,0.0,0.0,8.0,-10,178.5,73,8690.0,2760.0,0.585,-1.17,1.44,-0.6799999999999999,5.47818,-0.6163600000000002,0.0,0.0,-3.385902129,-1.4382003380000006,4.0562404155,0.8178453770000003,5.1105426825,1.0304206070000008,34.386250000000004,20.2525,1650.0,-3300,1000.0,-2000,0.1765,-0.11300000000000002,26.97,0.46000000000000085,7.6455,8.709,31.795,11.310000000000002,876.375,893.25,44.5,-61,77.5,-155,7.0,4,8.0,-10,5.5,-9,69.0,40,20.875,22.450000000000003,0.0,0.0
11,0.0,320.0,215,141,0.0,1.83,5.17,8.96702,-4.1050022980000005,-8.84851145,0.12,0.131,12.0,41.12,14,60,32.1,7.6,25.790818384999994,23.284535829999992,209.6085,34.78299999999999,4087.0,-1228.0,160.0,-320.0,6.0,-6,178.0,74,16315.0,-12490.0,0.915,-1.83,1.6500000000000001,-1.1,7.06851,-3.79702,0.0,0.0,-6.476756874,4.743509152,3.758429866,1.413466476,4.735324903,1.780856166,29.361250000000002,30.302500000000002,2750.0,-5500,4550.0,-9100,0.1255,-0.01100000000000001,26.15,2.099999999999998,26.56,-29.119999999999997,25.665000000000003,23.57,2031.0,-1416.0,37.0,-46,68.0,-136,6.0,6,13.0,-20,4.0,-6,83.0,12,19.85,24.5,105.0,-210.0
12,0.0,28.0,215,207,0.0,1.18,5.17,5.5769,-4.1050022980000005,-4.927546185,0.12,0.195,12.0,6.2,14,13,32.1,31.1,37.48186620999999,-0.09755982000000785,182.95273500000002,88.09452999999999,3605.0,-264.0,14.0,-28.0,3.0,0,211.0,8,8108.0,3924.0,0.59,-1.18,1.1,0.0,5.37345,-0.40690000000000026,0.0,0.0,-4.5162742415,0.8225438869999993,4.329809565,0.27070707800000005,5.455218213,0.34106954599999995,40.705,7.615000000000002,4750.0,-9500,1550.0,-3100,0.1575,-0.07500000000000001,27.155,0.08999999999999986,9.1,5.8,37.435,0.030000000000001137,1258.0,130.0,13.5,1,93.5,-187,9.0,0,3.0,0,1.0,0,73.0,32,31.6,1.0,7.0,-14.0
13,0.0,230.0,215,154,0.0,1.77,5.17,7.09243,-4.1050022980000005,-10.84610777,0.12,0.251,12.0,37.48,14,50,32.1,12.8,26.466983494999997,21.93220560999999,161.48,131.04000000000002,4192.5,-1439.0,115.0,-230.0,4.5,-3,184.5,61,10175.0,-210.0,0.885,-1.77,1.6300000000000001,-1.06,6.131215,-1.9224300000000003,0.0,0.0,-7.475555034,6.741105471999999,3.8096637060000003,1.3109987960000002,4.7998754965,1.6517549790000001,30.10125,28.822500000000005,1200.0,-2400,2650.0,-5300,0.1855,-0.131,25.63,3.1400000000000006,24.74,-25.479999999999997,26.520000000000003,21.860000000000003,2109.5,-1573.0,32.0,-36,69.5,-139,7.5,3,4.5,-3,3.0,-4,65.5,47,22.450000000000003,19.3,10.0,-20.0
14,0.0,6.3,215,166,0.0,0.82,5.17,5.139076,-4.1050022980000005,-1.2602413829999999,0.12,1.228,12.0,2.6,14,2,32.1,24.11,38.43570758999999,-2.005242580000008,124.99488464,204.01023072,2314.5,2317.0,3.15,-6.3,2.0,2,190.5,49,5519.0,9102.0,0.41,-0.82,1.0150000000000001,0.17000000000000004,5.1545380000000005,0.03092399999999973,0.0,0.0,-2.6826218405000004,-2.8447609150000006,4.173418097,0.5834900140000001,5.25817731,0.7351513520000008,36.877916665,15.269166670000004,550.0,-1100,250.0,-500,0.6739999999999999,-1.108,27.715,-1.0300000000000011,7.3,9.4,38.605000000000004,-2.309999999999995,846.935,952.13,8.0,12,90.0,-180,5.0,8,2.0,2,0.5,1,50.0,78,28.105,7.990000000000002,1.65,-3.3
15,0.0,32.0,215,201,0.0,1.2,5.17,5.525,-4.1050022980000005,-4.76235134,0.12,0.19,12.0,7.14,14,19,32.1,31.4,35.801070589999995,3.264031419999995,185.621,82.75799999999998,3423.0,100.0,16.0,-32.0,3.0,0,208.0,14,8540.0,3060.0,0.6,-1.2,1.12,-0.039999999999999813,5.3475,-0.3550000000000004,0.0,0.0,-4.433676819,0.6573490419999999,4.289488652,0.35134890399999996,5.4044170465,0.4426718790000006,39.66125,9.7025,4750.0,-9500,1550.0,-3100,0.155,-0.07,27.325,-0.25,9.57,4.86,35.825,3.25,1308.5,29.0,16.5,-5,91.0,-182,9.5,-1,4.5,-3,0.5,1,74.5,29,31.75,0.7000000000000028,8.0,-16.0
16,0.0,180.0,215,124,0.0,1.75,5.17,7.6398,-4.1050022980000005,-5.54632457,0.12,0.444,12.0,17.48,14,61,32.1,6.8,24.187185369999995,26.491801859999992,142.8467,168.3066,3329.5,287.0,90.0,-180.0,6.5,-7,169.5,91,9489.0,1162.0,0.875,-1.75,1.505,-0.8099999999999998,6.4049,-2.4698,0.0,0.0,-4.825663434000001,1.4413222719999998,3.604115522,1.7220951640000002,4.5409010125,2.1697039470000004,27.41625,34.1925,500.0,-1000,750.0,-1500,0.28200000000000003,-0.324,26.634999999999998,1.129999999999999,14.74,-5.48,24.155,26.590000000000003,1525.5,-405.0,37.5,-47,63.0,-126,5.5,7,6.5,-7,4.5,-7,58.5,61,19.45,25.3,38.0,-76.0
17,0.0,0.0,215,144,0.0,1.85,5.17,8.43823,-4.1050022980000005,-11.22070399,0.12,0.13,12.0,57.85,14,57,32.1,8.5,25.708391984999995,23.449388629999994,208.615,36.77000000000001,4379.0,-1812.0,0.0,0.0,5.5,-5,179.5,71,16330.0,-12520.0,0.925,-1.85,1.6500000000000001,-1.1,6.804115,-3.268230000000001,0.0,0.0,-7.6628531440000005,7.115701692,3.7541225789999997,1.4220810500000005,4.7298980615,1.791709849,29.301250000000003,30.422500000000003,2750.0,-5500,4550.0,-9100,0.125,-0.010000000000000009,25.95,2.5,34.925,-45.85,25.625,23.650000000000002,2314.5,-1983.0,35.5,-43,67.5,-135,6.5,5,12.5,-19,3.5,-5,82.5,13,20.3,23.6,111.0,-222.0
18,0.0,0.0,215,200,0.0,0.0,5.17,5.89,-4.1050022980000005,-9.49741247,0.12,0.0,12.0,12.34,14,18,32.1,25.4,31.197123464999997,12.471925669999994,229.01793,-4.035860000000014,3873.0,-800.0,0.0,0.0,3.0,0,207.5,15,12720.0,-5300.0,0.0,0.0,1.3,-0.3999999999999999,5.529999999999999,-0.7199999999999998,0.0,0.0,-6.8012073840000005,5.392410172,4.0790075715,0.7723110650000002,5.139227502000001,0.9730509679999999,34.84625,19.332500000000003,0.0,0,0.0,0,0.06,0.12,13.6,27.2,12.17,-0.33999999999999986,31.195,12.510000000000002,1584.0,-522.0,16.0,-4,82.5,-165,15.0,-12,4.0,-2,1.0,0,90.0,-2,28.75,6.700000000000003,0.0,0.0
19,0.0,180.0,215,139,0.0,1.67,5.17,8.3369,-4.1050022980000005,-5.13777457,0.12,0.244,12.0,16.74,14,62,32.1,4.8,26.065736284999996,22.734700029999992,166.71,120.58,3354.5,237.0,90.0,-180.0,6.5,-7,177.0,76,11046.5,-1953.0,0.835,-1.67,1.6500000000000001,-1.1,6.75345,-3.1669,0.0,0.0,-4.621388434,1.0327722719999999,3.7655551075,1.3992159929999999,4.744302144500001,1.762901683,29.46125,30.102500000000003,1600.0,-3200,4000.0,-8000,0.182,-0.124,26.59,1.2199999999999989,14.37,-4.739999999999998,26.085,22.730000000000004,1575.525,-505.04999999999995,38.0,-48,71.0,-142,4.5,9,6.5,-7,5.5,-9,67.5,43,18.45,27.3,22.0,-44.0
20,0.0,33.0,215,199,0.0,1.21,5.17,5.582000000000001,-4.1050022980000005,-4.744621343,0.12,0.0,12.0,0.0,14,21,32.1,30.1,35.290317429999995,4.285537739999995,186.0,82.0,3373.0,200.0,16.5,-33.0,3.0,0,207.0,16,8667.0,2806.0,0.605,-1.21,1.1275,-0.05499999999999994,5.376,-0.4120000000000008,0.0,0.0,-4.4248118205,0.6396190449999999,4.270252946499999,0.3898203150000006,5.380181576,0.4911428200000003,39.1775,10.670000000000002,4750.0,-9500,1550.0,-3100,0.06,0.12,13.6,27.2,6.0,12.0,35.56,3.780000000000001,1348.0,-50.0,17.5,-7,92.5,-185,9.0,0,5.0,-4,0.5,1,75.0,28,31.1,2.0,9.0,-18.0
21,0.0,29.0,215,203,0.0,1.2,5.17,5.473,-4.1050022980000005,-4.77382996,0.12,0.193,12.0,6.89,14,17,32.1,28.2,36.33613101499999,2.193910569999993,183.953825,86.09235000000001,3518.0,-90.0,14.5,-29.0,3.0,0,209.0,12,8355.0,3430.0,0.6,-1.2,1.115,-0.029999999999999805,5.3215,-0.30299999999999994,0.0,0.0,-4.439416129,0.6688276619999991,4.3063869320000006,0.3175523440000001,5.4257075445,0.40009088299999984,40.09375,8.837500000000006,4750.0,-9500,1550.0,-3100,0.1565,-0.07300000000000001,27.2,0.0,9.445,5.11,35.975,2.950000000000003,1263.5,119.0,15.5,-3,91.5,-183,10.0,-2,4.0,-2,0.5,1,74.0,30,30.15,3.900000000000002,7.5,-15.0
22,0.0,2.5,215,220,0.0,0.6,5.17,4.177128,-4.1050022980000005,-0.963335025,0.12,0.363,12.0,2.19,14,4,32.1,47.27,65.03701907499999,-55.20786555,156.2339,141.5322,2217.0,2512.0,1.25,-2.5,2.0,2,217.5,-5,5801.0,8538.0,0.3,-0.6,0.96,0.28000000000000014,4.673564,0.9928720000000002,0.0,0.0,-2.5341686615000003,-3.1416672730000004,5.0632239415,-1.1961216749999997,6.379262424,-1.507018876,67.6175,-46.209999999999994,3000.0,-6000,3000.0,-6000,0.2415,-0.243,29.13,-3.8599999999999994,7.095,9.81,65.27000000000001,-55.64,817.73,1010.54,9.0,10,122.0,-244,5.0,8,2.0,2,0.5,1,63.0,52,39.685,-15.170000000000002,0.0,0.0
23,0.0,370.0,215,151,0.0,1.85,5.17,7.83352,-4.1050022980000005,-12.41702777,0.12,0.13699999999999998,12.0,34.08,14,54,32.1,9.7,26.071710264999997,22.72275206999999,206.6035,40.793000000000006,4671.0,-2396.0,185.0,-370.0,5.0,-4,183.0,64,15545.0,-10950.0,0.925,-1.85,1.5,-0.7999999999999998,6.50176,-2.66352,0.0,0.0,-8.261015034,8.312025472,3.7741942440000003,1.3819377200000003,4.7551867745,1.7411324230000003,29.583750000000002,29.8575,1650.0,-3300,1650.0,-3300,0.1285,-0.016999999999999987,26.34,1.7199999999999989,23.04,-22.08,26.080000000000002,22.740000000000002,2391.0,-2136.0,34.0,-40,68.5,-137,7.0,4,12.0,-18,3.0,-4,82.0,14,20.9,22.400000000000002,89.0,-178.0
24,0.0,380.0,215,142,0.0,1.76,5.17,7.4589,-4.1050022980000005,-7.25364552,0.12,0.243,12.0,26.59,14,59,32.1,8.6,25.579298054999995,23.707576489999994,164.95275,124.0945,3720.5,-495.0,190.0,-380.0,6.0,-6,178.5,73,11260.0,-2380.0,0.88,-1.76,1.69,-1.1799999999999997,6.31445,-2.2889,0.0,0.0,-5.679323909000001,3.1486432219999996,3.7377489155,1.4548283770000001,4.709268538,1.8329688960000001,29.07625,30.872500000000002,1600.0,-3200,4000.0,-8000,0.1815,-0.123,26.09,2.219999999999999,19.295,-14.59,24.515,25.870000000000005,1780.0,-914.0,36.5,-45,66.0,-132,6.0,6,6.0,-6,4.5,-7,67.0,44,20.35,23.5,75.0,-150.0
25,0.0,42.0,215,139,0.0,1.26,5.17,8.60839,-4.1050022980000005,-4.11736234,0.12,0.207,12.0,19.79,14,85,32.1,6.6,33.81225487,7.241662859999991,174.38,105.24,2666.5,1613.0,21.0,-42.0,9.0,-12,177.0,76,8383.5,3373.0,0.63,-1.26,1.575,-0.9499999999999997,6.889195,-3.43839,0.0,0.0,-4.111182319,0.012360041999999183,4.2233725475,0.48358111300000006,5.321115974,0.6092740240000003,38.03625,12.952500000000004,3950.0,-7900,1700.0,-3400,0.16349999999999998,-0.087,26.215,1.9699999999999989,15.895,-7.789999999999999,33.83,7.240000000000002,1113.3899999999999,419.22,49.5,-71,77.5,-155,6.0,6,9.0,-12,5.5,-9,70.0,38,19.35,25.5,10.0,-20.0
26,0.0,38.7,215,194,0.0,1.22,5.17,5.8638,-4.1050022980000005,-4.629217697,0.12,0.182,12.0,10.15,14,29,32.1,25.5,34.77128953,5.32359353999999,192.962675,68.07464999999999,3488.0,-30.0,19.35,-38.7,3.0,0,204.5,21,9144.5,1851.0,0.61,-1.22,1.155,-0.10999999999999988,5.5169,-0.6938000000000004,0.0,0.0,-4.3671099975,0.5242153989999991,4.227080323,0.47616556200000026,5.325787478500001,0.5999310150000001,38.124583335000004,12.775833330000001,4750.0,-9500,1550.0,-3100,0.151,-0.062,28.055,-1.7100000000000009,11.075,1.8499999999999996,34.7,5.5000000000000036,1476.0,-306.0,21.5,-15,88.0,-176,7.0,4,7.0,-8,0.5,1,77.0,24,28.8,6.600000000000001,11.0,-22.0
27,0.0,110.0,215,160,0.0,1.52,5.17,6.828119999999999,-4.1050022980000005,-7.77522712,0.12,0.524,12.0,14.15,14,43,32.1,14.6,27.534701729999995,19.79676913999999,137.4335,179.133,3516.5,-87.0,55.0,-110.0,3.5,-1,187.5,55,7288.5,5563.0,0.76,-1.52,1.32,-0.43999999999999995,5.99906,-1.6581199999999994,0.0,0.0,-5.940114709,3.6702248219999998,3.8424811125000002,1.2453639829999998,4.8412228375,1.569060297,30.60125,27.8225,550.0,-1100,800.0,-1600,0.322,-0.404,26.13,2.1400000000000006,13.075,-2.1500000000000004,27.560000000000002,19.78,1632.0,-618.0,28.5,-29,71.0,-142,8.5,1,3.5,-1,1.5,-1,55.5,67,23.35,17.5,22.0,-44.0
28,0.0,43.0,215,145,0.0,1.12,5.17,6.108194,-4.1050022980000005,-2.27267753,0.12,0.129,12.0,4.1419999999999995,14,76,32.1,7.55,33.03698143,8.792209739999993,215.69164999999998,22.61670000000001,2609.5,1727.0,21.5,-43.0,8.0,-10,180.0,70,10960.0,-1780.0,0.56,-1.12,1.36,-0.52,5.639097,-0.9381940000000002,0.0,0.0,-3.1888399140000003,-1.8323247680000003,4.120360921,0.6896043660000002,5.1913294575,0.868847057,35.71125,17.602500000000003,3250.0,-6500,3250.0,-6500,0.1245,-0.009000000000000008,26.759999999999998,0.879999999999999,8.071,7.8580000000000005,32.99,8.920000000000002,950.0,746.0,45.0,-62,86.0,-172,7.0,4,15.0,-24,5.5,-9,85.0,8,19.825,24.55,1.4,-2.8
29,0.0,45.0,215,190,0.0,1.23,5.17,6.18431,-4.1050022980000005,-4.47387849,0.12,0.16,12.0,16.84,14,37,32.1,21.8,33.764736074999995,7.3367004499999915,197.967105,58.06578999999999,2848.0,1250.0,22.5,-45.0,3.0,0,202.5,25,9695.5,749.0,0.615,-1.23,1.175,-0.1499999999999999,5.677155,-1.01431,0.0,0.0,-4.289440394,0.3688761919999992,4.18521879,0.5598886279999999,5.273045252,0.705415468,37.14625,14.732500000000002,4750.0,-9500,1550.0,-3100,0.14,-0.04000000000000001,27.115000000000002,0.16999999999999815,14.42,-4.84,33.795,7.310000000000002,1570.5,-495.0,25.5,-23,87.5,-175,5.0,8,9.0,-12,0.5,1,79.0,20,26.950000000000003,10.3,15.5,-31.0
